MeasurementDateGMT,Nitric Oxide (ug/m3),Nitrogen Dioxide (ug/m3),Oxides of Nitrogen (ug/m3),PM10 Particulate (ug/m3),PM2.5 Particulate (ug/m3)
2016-09-17 07:00:00,2.0,7.0,10.0,11.9,8.7
2016-09-17 08:00:00,3.1,6.7,11.5,16.9,11.3
2016-09-17 09:00:00,3.2,7.0,11.9,7.2,0.7
2016-09-17 10:00:00,3.5,8.4,13.8,12.0,5.6
2016-09-17 11:00:00,3.2,8.7,13.7,11.8,5.4
2016-09-17 12:00:00,3.7,8.2,13.8,13.6,9.5
2016-09-17 13:00:00,3.0,8.8,13.5,10.8,6.2
2016-09-17 14:00:00,2.7,8.6,12.8,17.8,11.4
2016-09-17 15:00:00,3.2,9.1,14.1,13.7,5.7
2016-09-17 16:00:00,3.6,13.9,19.4,42.8,37.2
2016-09-17 17:00:00,2.8,13.3,17.6,26.3,21.7
2016-09-17 18:00:00,2.9,12.0,16.5,14.4,9.2
2016-09-17 19:00:00,1.7,8.4,11.0,12.5,6.6
2016-09-17 20:00:00,1.2,6.8,8.7,9.1,4.7
2016-09-17 21:00:00,1.1,5.7,7.3,8.0,3.4
2016-09-17 22:00:00,0.9,4.5,5.8,8.6,5.6
2016-09-17 23:00:00,0.9,4.5,5.9,8.9,5.3
2016-09-18 00:00:00,1.1,5.0,6.7,11.4,8.3
2016-09-18 01:00:00,1.5,7.3,9.6,6.2,2.7
2016-09-18 02:00:00,1.0,5.8,7.3,10.3,7.8
2016-09-18 03:00:00,0.9,5.6,6.9,8.5,5.6
2016-09-18 04:00:00,1.3,5.4,7.4,6.9,4.5
2016-09-18 05:00:00,1.6,7.0,9.5,7.6,5.3
2016-09-18 06:00:00,1.8,7.4,10.1,9.1,6.9
2016-09-18 07:00:00,2.1,7.7,10.9,11.5,9.3
2016-09-18 08:00:00,2.7,7.5,11.6,11.8,8.6
2016-09-18 09:00:00,3.3,9.9,15.0,10.4,8.1
2016-09-18 10:00:00,4.0,10.8,17.0,13.7,11.9
2016-09-18 11:00:00,3.8,10.3,16.1,4.6,5.4
2016-09-18 12:00:00,2.4,8.8,12.4,10.4,8.4
2016-09-18 13:00:00,2.3,10.2,13.7,7.9,5.2
2016-09-18 14:00:00,1.7,9.0,11.6,13.9,9.5
2016-09-18 15:00:00,2.3,10.5,14.1,5.4,1.9
2016-09-18 16:00:00,1.9,12.8,15.8,2.2,-0.4
2016-09-18 17:00:00,1.0,14.2,15.7,9.4,5.0
2016-09-18 18:00:00,2.6,24.8,28.8,15.2,12.8
2016-09-18 19:00:00,1.8,29.2,31.9,17.1,14.3
2016-09-18 20:00:00,1.5,36.8,39.1,15.7,12.9
2016-09-18 21:00:00,3.2,40.3,45.3,18.0,15.6
2016-09-18 22:00:00,1.4,32.4,34.5,15.3,13.0
2016-09-18 23:00:00,3.8,37.2,43.0,16.3,14.5
2016-09-19 00:00:00,4.9,46.3,53.8,18.8,16.0
2016-09-19 01:00:00,1.3,29.9,31.9,17.2,13.6
2016-09-19 02:00:00,2.2,25.8,29.2,17.9,14.9
2016-09-19 03:00:00,4.5,26.5,33.4,16.8,13.5
2016-09-19 04:00:00,12.6,39.5,58.8,15.4,11.0
2016-09-19 05:00:00,9.6,32.6,47.3,16.7,12.9
2016-09-19 06:00:00,47.6,52.4,125.3,19.7,14.0
2016-09-19 07:00:00,20.1,37.8,68.6,15.7,9.7
